epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,11392,1.0553,0.68592,0.01373,0.75374,0.69115,0.72632,0.29529,2.18935,1.49117,0.03393,0.000511769,0.000511769,0.000511769
72,11621.6,1.04514,0.68288,0.01337,0.78253,0.69752,0.73229,0.28838,2.1949,1.51416,0.03407,0.000495266,0.000495266,0.000495266
73,11822.7,1.0274,0.66594,0.01337,0.74239,0.63963,0.69751,0.27969,2.20956,1.66895,0.03486,0.000478762,0.000478762,0.000478762
74,12066.4,1.03732,0.67122,0.01356,0.79452,0.66783,0.71659,0.29683,2.14904,1.64474,0.03379,0.000462259,0.000462259,0.000462259
75,12298.6,1.02076,0.64175,0.01349,0.78525,0.65908,0.69544,0.29092,2.14137,1.51163,0.03283,0.000445756,0.000445756,0.000445756
76,12561.3,1.02052,0.64687,0.01344,0.78836,0.6779,0.73081,0.30025,2.1503,1.45151,0.03383,0.000429253,0.000429253,0.000429253
77,12763.6,1.02664,0.6549,0.01332,0.77463,0.63145,0.70344,0.29686,2.15957,1.57842,0.03322,0.000412749,0.000412749,0.000412749
78,12957.8,1.01992,0.64604,0.01323,0.78472,0.69566,0.74322,0.3105,2.17789,1.44572,0.03459,0.000396246,0.000396246,0.000396246
79,13179.8,1.01183,0.64951,0.01308,0.76088,0.69716,0.72528,0.30684,2.14434,1.44418,0.03308,0.000379743,0.000379743,0.000379743
80,13410,1.00551,0.62225,0.01346,0.78781,0.63522,0.68924,0.28246,2.15045,1.6095,0.03259,0.000363239,0.000363239,0.000363239
81,13639.3,1.00342,0.62523,0.01299,0.8076,0.61498,0.70342,0.28736,2.22875,1.59916,0.03446,0.000346736,0.000346736,0.000346736
82,13838,0.99479,0.62211,0.01293,0.76924,0.65692,0.7079,0.29487,2.17812,1.60128,0.03334,0.000330233,0.000330233,0.000330233
83,14078.5,0.99049,0.62825,0.013,0.79846,0.63071,0.69278,0.29759,2.16351,1.5128,0.03289,0.000313729,0.000313729,0.000313729
84,14326.2,0.98419,0.61354,0.01257,0.75586,0.61831,0.69885,0.29743,2.1679,1.60111,0.03299,0.000297226,0.000297226,0.000297226
85,14580,0.98201,0.63068,0.01295,0.77039,0.65187,0.71809,0.2914,2.1954,1.48174,0.03362,0.000280723,0.000280723,0.000280723
